ip.addr;ip.dsfield;ip.dsfield.dscp;ip.dst;ip.dst_host;ip.flags;ip.flags.df;ip.host;ip.opt.time_stamp;ip.proto;ip.src;ip.src_host;ip.ttl;tcp.ack;tcp.ack_raw;tcp.analysis.bytes_in_flight;tcp.analysis.push_bytes_sent;tcp.checksum;tcp.completeness;tcp.completeness.ack;tcp.completeness.data;tcp.completeness.fin;tcp.completeness.str;tcp.completeness.syn-ack;tcp.dstport;tcp.flags;tcp.flags.ack;tcp.flags.fin;tcp.flags.push;tcp.flags.reset;tcp.flags.str;tcp.flags.syn;tcp.hdr_len;tcp.len;tcp.nxtseq;tcp.option_kind;tcp.option_len;tcp.options.timestamp.tsecr;tcp.options.timestamp.tsval;tcp.port;tcp.seq;tcp.seq_raw;tcp.srcport;tcp.stream;tcp.time_delta;tcp.time_relative;tcp.window_size;tcp.window_size_value;udp.checksum;udp.dstport;udp.length;udp.port;udp.srcport;udp.stream;udp.time_delta;udp.time_relative;pfcp.apply_action.buff;pfcp.apply_action.drop;pfcp.apply_action.forw;pfcp.apply_action.nocp;pfcp.cause;pfcp.dst_interface;pfcp.duration_measurement;pfcp.end_time;pfcp.f_seid.ipv4;pfcp.f_teid.ipv4_addr;pfcp.f_teid.teid;pfcp.f_teid_flags.ch;pfcp.f_teid_flags.ch_id;pfcp.f_teid_flags.v6;pfcp.flags;pfcp.flow_desc;pfcp.flow_desc_len;pfcp.ie_len;pfcp.ie_type;pfcp.length;pfcp.msg_type;pfcp.network_instance;pfcp.node_id_ipv4;pfcp.node_id_type;pfcp.outer_hdr_creation.ipv4;pfcp.outer_hdr_creation.teid;pfcp.pdn_type;pfcp.pdr_id;pfcp.precedence;pfcp.recovery_time_stamp;pfcp.response_time;pfcp.response_to;pfcp.s;pfcp.seid;pfcp.seqno;pfcp.source_interface;pfcp.time_of_first_packet;pfcp.time_of_last_packet;pfcp.ue_ip_addr_ipv4;pfcp.ue_ip_address_flag.sd;pfcp.user_id.imei;pfcp.volume_measurement.dlnop;pfcp.volume_measurement.dlvol;pfcp.volume_measurement.tonop;pfcp.volume_measurement.tovol;tcp_opt_mss;tcp_opt_ts;tcp_opt_sack;tcp_opt_wscale
192.168.130.186;0x00;0;192.168.14.146;192.168.14.146;0x02;True;192.168.130.186;;17;192.168.130.186;192.168.130.186;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x12fd;8805.0;78.0;8805.0;8805.0;0.0;0.0;0.0;False;False;True;False;;0.0;;;;;;;;;0x21;;;50.0;10.0;66.0;52.0;internet;;;192.168.14.163;0x000011d3;;;;;;;True;3632.0;14085.0;;;;;;;;;;;0;0;0;0
192.168.14.146;0x00;0;192.168.130.186;192.168.130.186;0x02;True;192.168.14.146;;17;192.168.14.146;192.168.14.146;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x12cc;8805.0;29.0;8805.0;8805.0;0.0;0.000364402;0.000364402;;;;;1.0;;;;;;;;;;0x21;;;1.0;19.0;17.0;53.0;;;;;;;;;;0.000364402;1.0;True;1999.0;14085.0;;;;;;;;;;;0;0;0;0
192.168.130.186;0x00;0;192.168.14.146;192.168.14.146;0x02;True;192.168.130.186;;17;192.168.130.186;192.168.130.186;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x12c7;8805.0;24.0;8805.0;8805.0;0.0;0.230415841;0.230780243;;;;;;;;;;;;;;;0x21;;;;;12.0;54.0;;;;;;;;;;;;True;2431.0;14086.0;;;;;;;;;;;0;0;0;0
192.168.14.146;0x00;0;192.168.130.186;192.168.130.186;0x02;True;192.168.14.146;;17;192.168.14.146;192.168.14.146;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x133c;8805.0;141.0;8805.0;8805.0;0.0;0.000453282;0.231233525;;;;;1.0;;1754053942.0;Aug  1, 2025 13:12:22.000000000 UTC;;;;;;;0x21;;;1.0;19.0;129.0;55.0;;;;;;;;;;0.000453282;3.0;True;3524.0;14086.0;;Aug  1, 2025 13:12:18.000000000 UTC;Aug  1, 2025 13:12:18.000000000 UTC;;;;1.0;60.0;1.0;60.0;0;0;0;0
192.168.130.186;0x00;0;192.168.14.146;192.168.14.146;0x02;True;192.168.130.186;;17;192.168.130.186;192.168.130.186;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x12c7;8805.0;24.0;8805.0;8805.0;0.0;0.075595337;0.306828862;;;;;;;;;;;;;;;0x21;;;;;12.0;54.0;;;;;;;;;;;;True;3253.0;14087.0;;;;;;;;;;;0;0;0;0
192.168.130.186;0x00;0;192.168.14.146;192.168.14.146;0x02;True;192.168.130.186;;17;192.168.130.186;192.168.130.186;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x12c7;8805.0;24.0;8805.0;8805.0;0.0;1.843e-06;0.306830705;;;;;;;;;;;;;;;0x21;;;;;12.0;54.0;;;;;;;;;;;;True;1015.0;14088.0;;;;;;;;;;;0;0;0;0
192.168.14.146;0x00;0;192.168.130.186;192.168.130.186;0x02;True;192.168.14.146;;17;192.168.14.146;192.168.14.146;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x133c;8805.0;141.0;8805.0;8805.0;0.0;0.001485646;0.308316351;;;;;1.0;;1754053942.0;Aug  1, 2025 13:12:22.000000000 UTC;;;;;;;0x21;;;1.0;19.0;129.0;55.0;;;;;;;;;;0.001487489;5.0;True;240.0;14087.0;;;;;;;0.0;0.0;0.0;0.0;0;0;0;0
192.168.14.146;0x00;0;192.168.130.186;192.168.130.186;0x02;True;192.168.14.146;;17;192.168.14.146;192.168.14.146;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x133c;8805.0;141.0;8805.0;8805.0;0.0;0.000954131;0.309270482;;;;;1.0;;1754053942.0;Aug  1, 2025 13:12:22.000000000 UTC;;;;;;;0x21;;;1.0;19.0;129.0;55.0;;;;;;;;;;0.002439777;6.0;True;2584.0;14088.0;;Aug  1, 2025 13:12:17.000000000 UTC;Aug  1, 2025 13:12:21.000000000 UTC;;;;115.0;148524.0;115.0;148524.0;0;0;0;0
192.168.130.186;0x00;0;192.168.14.146;192.168.14.146;0x02;True;192.168.130.186;;17;192.168.130.186;192.168.130.186;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x12c7;8805.0;24.0;8805.0;8805.0;0.0;0.094961009;0.404231491;;;;;;;;;;;;;;;0x21;;;;;12.0;54.0;;;;;;;;;;;;True;2694.0;14089.0;;;;;;;;;;;0;0;0;0
192.168.130.186;0x00;0;192.168.14.146;192.168.14.146;0x02;True;192.168.130.186;;17;192.168.130.186;192.168.130.186;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x12c7;8805.0;24.0;8805.0;8805.0;0.0;1.963e-06;0.404233454;;;;;;;;;;;;;;;0x21;;;;;12.0;54.0;;;;;;;;;;;;True;331.0;14090.0;;;;;;;;;;;0;0;0;0
192.168.130.186;0x00;0;192.168.14.146;192.168.14.146;0x02;True;192.168.130.186;;17;192.168.130.186;192.168.130.186;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x12c7;8805.0;24.0;8805.0;8805.0;0.0;7.3339e-05;0.404306793;;;;;;;;;;;;;;;0x21;;;;;12.0;54.0;;;;;;;;;;;;True;570.0;14091.0;;;;;;;;;;;0;0;0;0
192.168.14.146;0x00;0;192.168.130.186;192.168.130.186;0x02;True;192.168.14.146;;17;192.168.14.146;192.168.14.146;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x133c;8805.0;141.0;8805.0;8805.0;0.0;0.000127856;0.404434649;;;;;1.0;;1754053942.0;Aug  1, 2025 13:12:22.000000000 UTC;;;;;;;0x21;;;1.0;19.0;129.0;55.0;;;;;;;;;;0.000203158;9.0;True;2971.0;14089.0;;Aug  1, 2025 13:12:14.000000000 UTC;Aug  1, 2025 13:12:21.000000000 UTC;;;;511.0;683360.0;511.0;683360.0;0;0;0;0
192.168.14.146;0x00;0;192.168.130.186;192.168.130.186;0x02;True;192.168.14.146;;17;192.168.14.146;192.168.14.146;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x133c;8805.0;141.0;8805.0;8805.0;0.0;0.000642527;0.405077176;;;;;1.0;;1754053942.0;Aug  1, 2025 13:12:22.000000000 UTC;;;;;;;0x21;;;1.0;19.0;129.0;55.0;;;;;;;;;;0.000843722;10.0;True;3735.0;14090.0;;Aug  1, 2025 13:12:10.000000000 UTC;Aug  1, 2025 13:12:16.000000000 UTC;;;;30.0;24222.0;30.0;24222.0;0;0;0;0
192.168.14.146;0x00;0;192.168.130.186;192.168.130.186;0x02;True;192.168.14.146;;17;192.168.14.146;192.168.14.146;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x133c;8805.0;141.0;8805.0;8805.0;0.0;0.000338246;0.405415422;;;;;1.0;;1754053942.0;Aug  1, 2025 13:12:22.000000000 UTC;;;;;;;0x21;;;1.0;19.0;129.0;55.0;;;;;;;;;;0.001108629;11.0;True;3703.0;14091.0;;;;;;;0.0;0.0;0.0;0.0;0;0;0;0
192.168.130.186;0x00;0;192.168.14.146;192.168.14.146;0x02;True;192.168.130.186;;17;192.168.130.186;192.168.130.186;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x12c7;8805.0;24.0;8805.0;8805.0;0.0;0.001556435;0.406971857;;;;;;;;;;;;;;;0x21;;;;;12.0;54.0;;;;;;;;;;;;True;2907.0;14092.0;;;;;;;;;;;0;0;0;0
192.168.14.146;0x00;0;192.168.130.186;192.168.130.186;0x02;True;192.168.14.146;;17;192.168.14.146;192.168.14.146;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x133c;8805.0;141.0;8805.0;8805.0;0.0;0.0003845;0.407356357;;;;;1.0;;1754053942.0;Aug  1, 2025 13:12:22.000000000 UTC;;;;;;;0x21;;;1.0;19.0;129.0;55.0;;;;;;;;;;0.0003845;15.0;True;2264.0;14092.0;;Aug  1, 2025 13:12:12.000000000 UTC;Aug  1, 2025 13:12:21.000000000 UTC;;;;115.0;114869.0;115.0;114869.0;0;0;0;0
192.168.130.186;0x00;0;192.168.14.146;192.168.14.146;0x02;True;192.168.130.186;;17;192.168.130.186;192.168.130.186;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x1528;8805.0;633.0;8805.0;8805.0;0.0;0.254231214;0.661587571;True;False;False;True;;1.0;;;192.168.130.186;;;True;True;True;0x21;permit out 58 from ff02::2/128 to assigned;42.0;5.0;60.0;621.0;50.0;internet;192.168.130.186;0.0;192.168.130.186;0x000001ab;1.0;1.0;255.0;;;;True;0.0;14093.0;1.0;;;10.45.1.172;True;4370816125816151.0;;;;;0;0;0;0
192.168.14.146;0x00;0;192.168.130.186;192.168.130.186;0x02;True;192.168.14.146;;17;192.168.14.146;192.168.14.146;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x132b;8805.0;124.0;8805.0;8805.0;0.0;0.000473088;0.662060659;;;;;1.0;;;;192.168.14.146;192.168.14.146;17255.0;False;False;False;0x21;;;5.0;60.0;112.0;51.0;;192.168.14.146;0.0;;;;2.0;;;0.000473088;17.0;True;761.0;14093.0;;;;;;;;;;;0;0;0;0
192.168.130.186;0x00;0;192.168.14.146;192.168.14.146;0x02;True;192.168.130.186;;17;192.168.130.186;192.168.130.186;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x12fd;8805.0;78.0;8805.0;8805.0;0.0;0.033100296;0.695160955;False;False;True;False;;0.0;;;;;;;;;0x21;;;50.0;10.0;66.0;52.0;internet;;;192.168.14.163;0x000011d4;;;;;;;True;1822.0;14094.0;;;;;;;;;;;0;0;0;0
192.168.14.146;0x00;0;192.168.130.186;192.168.130.186;0x02;True;192.168.14.146;;17;192.168.14.146;192.168.14.146;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x12cc;8805.0;29.0;8805.0;8805.0;0.0;0.00187308;0.697034035;;;;;1.0;;;;;;;;;;0x21;;;1.0;19.0;17.0;53.0;;;;;;;;;;0.00187308;19.0;True;761.0;14094.0;;;;;;;;;;;0;0;0;0
192.168.130.186;0x00;0;192.168.14.146;192.168.14.146;0x02;True;192.168.130.186;;17;192.168.130.186;192.168.130.186;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x1528;8805.0;633.0;8805.0;8805.0;0.0;0.083039764;0.780073799;True;False;False;True;;1.0;;;192.168.130.186;;;True;True;True;0x21;permit out 58 from ff02::2/128 to assigned;42.0;5.0;60.0;621.0;50.0;internet;192.168.130.186;0.0;192.168.130.186;0x000001e5;1.0;1.0;255.0;;;;True;0.0;14095.0;1.0;;;10.45.1.230;True;4370816125816151.0;;;;;0;0;0;0
192.168.14.146;0x00;0;192.168.130.186;192.168.130.186;0x02;True;192.168.14.146;;17;192.168.14.146;192.168.14.146;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x132b;8805.0;124.0;8805.0;8805.0;0.0;0.000679788;0.780753587;;;;;1.0;;;;192.168.14.146;192.168.14.146;33738.0;False;False;False;0x21;;;5.0;60.0;112.0;51.0;;192.168.14.146;0.0;;;;2.0;;;0.000679788;21.0;True;2680.0;14095.0;;;;;;;;;;;0;0;0;0
192.168.130.186;0x00;0;192.168.14.146;192.168.14.146;0x02;True;192.168.130.186;;17;192.168.130.186;192.168.130.186;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x12fd;8805.0;78.0;8805.0;8805.0;0.0;0.019982313;0.8007359;False;False;True;False;;0.0;;;;;;;;;0x21;;;50.0;10.0;66.0;52.0;internet;;;192.168.14.163;0x000011d5;;;;;;;True;2059.0;14096.0;;;;;;;;;;;0;0;0;0
192.168.14.146;0x00;0;192.168.130.186;192.168.130.186;0x02;True;192.168.14.146;;17;192.168.14.146;192.168.14.146;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x12cc;8805.0;29.0;8805.0;8805.0;0.0;0.000303524;0.801039424;;;;;1.0;;;;;;;;;;0x21;;;1.0;19.0;17.0;53.0;;;;;;;;;;0.000303524;23.0;True;2680.0;14096.0;;;;;;;;;;;0;0;0;0
192.168.130.186;0x00;0;192.168.14.146;192.168.14.146;0x02;True;192.168.130.186;;17;192.168.130.186;192.168.130.186;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x1528;8805.0;633.0;8805.0;8805.0;0.0;0.07971732;0.880756744;True;False;False;True;;1.0;;;192.168.130.186;;;True;True;True;0x21;permit out 58 from ff02::2/128 to assigned;42.0;5.0;60.0;621.0;50.0;internet;192.168.130.186;0.0;192.168.130.186;0x00000177;1.0;1.0;255.0;;;;True;0.0;14097.0;1.0;;;10.45.1.120;True;4370816125816151.0;;;;;0;0;0;0
192.168.14.146;0x00;0;192.168.130.186;192.168.130.186;0x02;True;192.168.14.146;;17;192.168.14.146;192.168.14.146;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x132b;8805.0;124.0;8805.0;8805.0;0.0;0.004323631;0.885080375;;;;;1.0;;;;192.168.14.146;192.168.14.146;47730.0;False;False;False;0x21;;;5.0;60.0;112.0;51.0;;192.168.14.146;0.0;;;;2.0;;;0.004323631;25.0;True;1096.0;14097.0;;;;;;;;;;;0;0;0;0
192.168.130.186;0x00;0;192.168.14.146;192.168.14.146;0x02;True;192.168.130.186;;17;192.168.130.186;192.168.130.186;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x1528;8805.0;633.0;8805.0;8805.0;0.0;0.017227788;0.902308163;True;False;False;True;;1.0;;;192.168.130.186;;;True;True;True;0x21;permit out 58 from ff02::2/128 to assigned;42.0;5.0;60.0;621.0;50.0;internet;192.168.130.186;0.0;192.168.130.186;0x000001c9;1.0;1.0;255.0;;;;True;0.0;14098.0;1.0;;;10.45.1.202;True;4370816125816151.0;;;;;0;0;0;0
192.168.130.186;0x00;0;192.168.14.146;192.168.14.146;0x02;True;192.168.130.186;;17;192.168.130.186;192.168.130.186;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x1528;8805.0;633.0;8805.0;8805.0;0.0;7.4972e-05;0.902383135;True;False;False;True;;1.0;;;192.168.130.186;;;True;True;True;0x21;permit out 58 from ff02::2/128 to assigned;42.0;5.0;60.0;621.0;50.0;internet;192.168.130.186;0.0;192.168.130.186;0x000001cc;1.0;1.0;255.0;;;;True;0.0;14099.0;1.0;;;10.45.1.205;True;4370816125816151.0;;;;;0;0;0;0
192.168.14.146;0x00;0;192.168.130.186;192.168.130.186;0x02;True;192.168.14.146;;17;192.168.14.146;192.168.14.146;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x132b;8805.0;124.0;8805.0;8805.0;0.0;0.003465591;0.905848726;;;;;1.0;;;;192.168.14.146;192.168.14.146;26990.0;False;False;False;0x21;;;5.0;60.0;112.0;51.0;;192.168.14.146;0.0;;;;2.0;;;0.003540563;27.0;True;340.0;14098.0;;;;;;;;;;;0;0;0;0
192.168.14.146;0x00;0;192.168.130.186;192.168.130.186;0x02;True;192.168.14.146;;17;192.168.14.146;192.168.14.146;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x132b;8805.0;124.0;8805.0;8805.0;0.0;0.000669889;0.906518615;;;;;1.0;;;;192.168.14.146;192.168.14.146;50506.0;False;False;False;0x21;;;5.0;60.0;112.0;51.0;;192.168.14.146;0.0;;;;2.0;;;0.00413548;28.0;True;3101.0;14099.0;;;;;;;;;;;0;0;0;0
192.168.130.186;0x00;0;192.168.14.146;192.168.14.146;0x02;True;192.168.130.186;;17;192.168.130.186;192.168.130.186;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x12fd;8805.0;78.0;8805.0;8805.0;0.0;0.012669418;0.919188033;False;False;True;False;;0.0;;;;;;;;;0x21;;;50.0;10.0;66.0;52.0;internet;;;192.168.14.163;0x000011d6;;;;;;;True;633.0;14100.0;;;;;;;;;;;0;0;0;0
192.168.14.146;0x00;0;192.168.130.186;192.168.130.186;0x02;True;192.168.14.146;;17;192.168.14.146;192.168.14.146;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x12cc;8805.0;29.0;8805.0;8805.0;0.0;0.002851545;0.922039578;;;;;1.0;;;;;;;;;;0x21;;;1.0;19.0;17.0;53.0;;;;;;;;;;0.002851545;31.0;True;1096.0;14100.0;;;;;;;;;;;0;0;0;0
192.168.130.186;0x00;0;192.168.14.146;192.168.14.146;0x02;True;192.168.130.186;;17;192.168.130.186;192.168.130.186;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x12fd;8805.0;78.0;8805.0;8805.0;0.0;0.030865915;0.952905493;False;False;True;False;;0.0;;;;;;;;;0x21;;;50.0;10.0;66.0;52.0;internet;;;192.168.14.163;0x000011d7;;;;;;;True;2346.0;14101.0;;;;;;;;;;;0;0;0;0
192.168.14.146;0x00;0;192.168.130.186;192.168.130.186;0x02;True;192.168.14.146;;17;192.168.14.146;192.168.14.146;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x12cc;8805.0;29.0;8805.0;8805.0;0.0;0.000305437;0.95321093;;;;;1.0;;;;;;;;;;0x21;;;1.0;19.0;17.0;53.0;;;;;;;;;;0.000305437;33.0;True;340.0;14101.0;;;;;;;;;;;0;0;0;0
192.168.130.186;0x00;0;192.168.14.146;192.168.14.146;0x02;True;192.168.130.186;;17;192.168.130.186;192.168.130.186;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x1528;8805.0;633.0;8805.0;8805.0;0.0;5.4689e-05;0.953265619;True;False;False;True;;1.0;;;192.168.130.186;;;True;True;True;0x21;permit out 58 from ff02::2/128 to assigned;42.0;5.0;60.0;621.0;50.0;internet;192.168.130.186;0.0;192.168.130.186;0x000001c3;1.0;1.0;255.0;;;;True;0.0;14102.0;1.0;;;10.45.1.196;True;4370816125816151.0;;;;;0;0;0;0
192.168.130.186;0x00;0;192.168.14.146;192.168.14.146;0x02;True;192.168.130.186;;17;192.168.130.186;192.168.130.186;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x1528;8805.0;633.0;8805.0;8805.0;0.0;0.000151554;0.953417173;True;False;False;True;;1.0;;;192.168.130.186;;;True;True;True;0x21;permit out 58 from ff02::2/128 to assigned;42.0;5.0;60.0;621.0;50.0;internet;192.168.130.186;0.0;192.168.130.186;0x0000021f;1.0;1.0;255.0;;;;True;0.0;14103.0;1.0;;;10.45.2.32;True;4370816125816151.0;;;;;0;0;0;0
192.168.14.146;0x00;0;192.168.130.186;192.168.130.186;0x02;True;192.168.14.146;;17;192.168.14.146;192.168.14.146;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x132b;8805.0;124.0;8805.0;8805.0;0.0;0.001008486;0.954425659;;;;;1.0;;;;192.168.14.146;192.168.14.146;47482.0;False;False;False;0x21;;;5.0;60.0;112.0;51.0;;192.168.14.146;0.0;;;;2.0;;;0.00116004;35.0;True;715.0;14102.0;;;;;;;;;;;0;0;0;0
192.168.14.146;0x00;0;192.168.130.186;192.168.130.186;0x02;True;192.168.14.146;;17;192.168.14.146;192.168.14.146;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x132b;8805.0;124.0;8805.0;8805.0;0.0;0.000401602;0.954827261;;;;;1.0;;;;192.168.14.146;192.168.14.146;20325.0;False;False;False;0x21;;;5.0;60.0;112.0;51.0;;192.168.14.146;0.0;;;;2.0;;;0.001410088;36.0;True;223.0;14103.0;;;;;;;;;;;0;0;0;0
192.168.130.186;0x00;0;192.168.14.146;192.168.14.146;0x02;True;192.168.130.186;;17;192.168.130.186;192.168.130.186;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x12fd;8805.0;78.0;8805.0;8805.0;0.0;0.031179492;0.986006753;False;False;True;False;;0.0;;;;;;;;;0x21;;;50.0;10.0;66.0;52.0;internet;;;192.168.14.163;0x000011d8;;;;;;;True;3851.0;14104.0;;;;;;;;;;;0;0;0;0
192.168.14.146;0x00;0;192.168.130.186;192.168.130.186;0x02;True;192.168.14.146;;17;192.168.14.146;192.168.14.146;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x12cc;8805.0;29.0;8805.0;8805.0;0.0;0.000380524;0.986387277;;;;;1.0;;;;;;;;;;0x21;;;1.0;19.0;17.0;53.0;;;;;;;;;;0.000380524;39.0;True;3101.0;14104.0;;;;;;;;;;;0;0;0;0
192.168.130.186;0x00;0;192.168.14.146;192.168.14.146;0x02;True;192.168.130.186;;17;192.168.130.186;192.168.130.186;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x12fd;8805.0;78.0;8805.0;8805.0;0.0;0.180630135;1.167017412;False;False;True;False;;0.0;;;;;;;;;0x21;;;50.0;10.0;66.0;52.0;internet;;;192.168.14.163;0x000011d9;;;;;;;True;3262.0;14105.0;;;;;;;;;;;0;0;0;0
192.168.130.186;0x00;0;192.168.14.146;192.168.14.146;0x02;True;192.168.130.186;;17;192.168.130.186;192.168.130.186;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x12fd;8805.0;78.0;8805.0;8805.0;0.0;2.244e-06;1.167019656;False;False;True;False;;0.0;;;;;;;;;0x21;;;50.0;10.0;66.0;52.0;internet;;;192.168.14.163;0x000011da;;;;;;;True;2204.0;14106.0;;;;;;;;;;;0;0;0;0
192.168.14.146;0x00;0;192.168.130.186;192.168.130.186;0x02;True;192.168.14.146;;17;192.168.14.146;192.168.14.146;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x12cc;8805.0;29.0;8805.0;8805.0;0.0;0.000320857;1.167340513;;;;;1.0;;;;;;;;;;0x21;;;1.0;19.0;17.0;53.0;;;;;;;;;;0.000323101;41.0;True;715.0;14105.0;;;;;;;;;;;0;0;0;0
192.168.14.146;0x00;0;192.168.130.186;192.168.130.186;0x02;True;192.168.14.146;;17;192.168.14.146;192.168.14.146;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x12cc;8805.0;29.0;8805.0;8805.0;0.0;0.00023726;1.167577773;;;;;1.0;;;;;;;;;;0x21;;;1.0;19.0;17.0;53.0;;;;;;;;;;0.000558117;42.0;True;223.0;14106.0;;;;;;;;;;;0;0;0;0
192.168.130.186;0x00;0;192.168.14.146;192.168.14.146;0x02;True;192.168.130.186;;17;192.168.130.186;192.168.130.186;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x12c7;8805.0;24.0;8805.0;8805.0;0.0;1.164722418;2.332300191;;;;;;;;;;;;;;;0x21;;;;;12.0;54.0;;;;;;;;;;;;True;263.0;14107.0;;;;;;;;;;;0;0;0;0
192.168.14.146;0x00;0;192.168.130.186;192.168.130.186;0x02;True;192.168.14.146;;17;192.168.14.146;192.168.14.146;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0x133c;8805.0;141.0;8805.0;8805.0;0.0;0.003737128;2.336037319;;;;;1.0;;1754053944.0;Aug  1, 2025 13:12:24.000000000 UTC;;;;;;;0x21;;;1.0;19.0;129.0;55.0;;;;;;;;;;0.003737128;45.0;True;1957.0;14107.0;;;;;;;0.0;0.0;0.0;0.0;0;0;0;0
